sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
109,JK SECURITIES PVT. LTD.,INZ000174537,08239,513,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=513&h_MemType=members&memName=JK%20SECURITIES%20PVT.%20LTD.
110,BALJIT SECURITIES PVT. LTD.,INZ000194035,09074,522,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=522&h_MemType=members&memName=BALJIT%20SECURITIES%20PVT.%20LTD.
111,PRABHAT FINANCIAL SERVICES LTD.,INZ000169433,08852,774,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=774&h_MemType=members&memName=PRABHAT%20FINANCIAL%20SERVICES%20LTD.
112,PUNEET SECURITIES PVT. LTD.,INZ000285533,08767,781,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=781&h_MemType=members&memName=PUNEET%20SECURITIES%20PVT.%20LTD.
113,R K GLOBAL SHARES & SECURITIES LIMITED,INZ000187132,08250,786,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=786&h_MemType=members&memName=R%20K%20GLOBAL%20SHARES%20%26%20SECURITIES%20LIMITED
114,ACEMONEY INTERMEDIARIES PRIVATE LIMITED,INZ000104331,07923,659,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=659&h_MemType=members&memName=ACEMONEY%20INTERMEDIARIES%20PRIVATE%20LIMITED
115,COMPOSITE SECURITIES LTD.,INZ000278838,07754,663,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=663&h_MemType=members&memName=COMPOSITE%20SECURITIES%20LTD.
116,INDIAN FINANCE GUARANTY LTD.,INZ000101139,08806,703,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=703&h_MemType=members&memName=INDIAN%20FINANCE%20GUARANTY%20LTD.
117,KAPILA SECURITIES PRIVATE LIMITED,INZ000181731,07826,722,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=722&h_MemType=members&memName=KAPILA%20SECURITIES%20PRIVATE%20LIMITED
118,CHOLAMANDALAM SECURITIES LIMITED,INZ000168236,12881,902,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=902&h_MemType=members&memName=CHOLAMANDALAM%20SECURITIES%20LIMITED
119,SAJAG SECURITIES PVT. LTD.,INZ000221337,07549,960,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=960&h_MemType=members&memName=SAJAG%20SECURITIES%20PVT.%20LTD.
120,AUM SECURITIES PRIVATE LTD.,INZ000173337,08066,914,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=914&h_MemType=members&memName=AUM%20SECURITIES%20PRIVATE%20LTD.
